id_instalacion;tipo_instalacion;capacidad_instalacion;nombre_puerto;rut_jefe
3;muelle;2;Quintero;27626683-7
74;astillero;1;Mejillones;47121914-2
36;astillero;1;San Antonio;58963604-k
147;muelle;2;Valparaiso;37376941-k
11;muelle;2;Lota;70366259-5
212;muelle;2;Mejillones;56405384-8
0;muelle;3;Taltal;35115737-2
41;astillero;2;Arica;23686910-5
137;astillero;2;Cabo Negro;37780063-k
198;muelle;1;Antofagasta;71316667-7
108;astillero;1;Ancud;25919808-9
209;astillero;1;Lota;80558312-6
182;astillero;3;Antofagasta;58812264-6
7;astillero;2;Puerto Angamos;59749734-2
109;astillero;2;La Serena;12205074-2
14;muelle;2;Corral;45624249-9
165;muelle;1;Caldera;67902197-4
24;muelle;3;Barquito;59129614-0
143;astillero;3;Puerto Montt;37630974-6
176;astillero;3;Quellon;77484278-0
154;muelle;1;Quemchi;49641463-2
89;muelle;1;Puerto Natales;56744324-8
202;astillero;2;Cruz Grande;91346186-k
141;muelle;2;Quintero;58648727-2
96;muelle;3;Guayacan;81203114-7
208;muelle;2;Valparaiso;68147125-1
87;astillero;1;Isla Guarello;80640357-1
180;astillero;3;Lirquen;92946711-6
118;muelle;2;Port Williams;54546935-9
196;muelle;1;Balmaceda;93176945-6
194;muelle;1;Cruz Grande;54593722-0
155;muelle;3;Barquito;64501886-9
130;muelle;3;Ancud;26135720-8
95;muelle;3;Puerto Chacabuco;33461512-k
23;muelle;3;Mejillones;38578737-5
67;astillero;3;Port Williams;58038177-4
16;muelle;2;Caldera;87624695-3
157;astillero;2;Lota;78301240-5
4;astillero;1;Caleta Patillos;20789297-1
170;muelle;1;Coronel;58378678-3
110;astillero;1;Puerto Angamos;29637564-0
15;astillero;1;Guayacan;31359212-k
40;muelle;3;Caleta Patillos;23494123-2
55;muelle;3;Mejillones;31194216-6
179;astillero;3;Puerto Angamos;15795964-6
32;astillero;2;Quellon;25450277-4
52;muelle;1;Quintero;61993529-2
117;astillero;2;Coronel;89751595-4
211;muelle;1;Corral;52792841-9
86;muelle;3;Cabo Negro;95423202-6
8;astillero;1;Caldera;38629675-8
37;muelle;3;Valdivia;25696685-9
94;astillero;2;Huasco;60727093-7
168;astillero;2;Caleta Patillos;57181678-4
119;muelle;1;Cruz Grande;59105378-7
204;muelle;1;Ancud;10927357-0
136;astillero;1;Mejillones;91957637-5
19;muelle;2;Cruz Grande;50942616-3
81;muelle;3;Castro;69767927-8
45;astillero;3;Guayacan;52698782-9
114;muelle;1;Puerto Angamos;82533150-6
71;muelle;1;Caleta Patillos;23711490-6
177;muelle;1;La Serena;44973013-5
42;muelle;3;Cruz Grande;21016824-9
138;muelle;2;Puerto Angamos;44604413-3
39;muelle;1;Calderilla;43329730-k
58;astillero;3;Taltal;67314332-6
75;astillero;1;Quintero;34823992-9
167;astillero;1;Port Williams;81881771-1
145;muelle;2;San Vicente;40644356-6
113;astillero;2;Coronel;46805723-9
131;astillero;1;Calderilla;30991735-9
54;muelle;2;Puerto Montt;79348268-k
123;muelle;2;Quintero;97632307-6
127;muelle;1;Chacabuco;15955355-8
63;astillero;3;Lota;26249833-6
175;muelle;1;La Serena;24927693-6
30;astillero;2;Lirquen;45856781-6
50;astillero;2;Lota;46531952-6
156;muelle;2;Balmaceda;42494071-2
112;astillero;2;Ancud;38100857-6
29;astillero;3;Calderilla;54122700-8
159;astillero;3;Chacabuco;17341224-k
214;astillero;3;Guayacan;66714421-3
188;muelle;1;Huasco;60747994-1
98;muelle;3;Isla de Pascua;99837067-1
187;astillero;1;Lota;70433997-6
97;muelle;1;Puerto Angamos;60926655-4
93;astillero;2;Puerto Montt;44372095-2
163;muelle;3;Cabo Negro;71389826-0
51;astillero;2;Barquito;44626695-0
99;astillero;3;Tocopilla;92390198-1
80;muelle;1;Caldera;50319391-4
85;muelle;2;Penco;65485230-8
6;astillero;2;Puerto Angamos;53281073-6
161;muelle;3;Isla de Pascua;83029887-8
197;astillero;1;Caleta Patillos;13947632-8
9;astillero;1;Antofagasta;64367868-3
90;muelle;3;Taltal;32153494-5
107;muelle;3;Penco;12957899-8
189;astillero;3;Huasco;32086803-3
57;astillero;3;Coronel;76762441-7
44;astillero;1;Calderilla;18984900-1
61;muelle;2;Arica;42714709-6
20;muelle;2;Chacabuco;96828461-4
17;muelle;1;Tocopilla;73454838-3
215;muelle;2;Chacabuco;60456055-1
38;astillero;2;Lirquen;37797879-k
12;muelle;1;Calderilla;82254885-7
162;muelle;2;Arica;70551235-3
206;muelle;2;Arica;45273848-1
181;astillero;3;Cabo Negro;11123767-0
111;astillero;1;Valparaiso;41325900-2
53;astillero;2;Arica;91258242-6
76;astillero;3;Corral;10537138-1
186;muelle;3;Barquito;35806868-5
2;muelle;3;Cabo Negro;89265324-0
26;muelle;3;La Serena;15333675-k
66;astillero;3;Taltal;34975310-3
149;muelle;1;Antofagasta;29004298-4
68;muelle;3;Isla Guarello;48592540-6
124;muelle;3;Tocopilla;80228379-2
83;astillero;1;Caleta Coloso;41966463-4
166;astillero;2;Calderilla;84593882-2
92;muelle;3;Cruz Grande;49552236-9
172;muelle;3;Huasco;28673876-1
142;muelle;2;Taltal;12177977-3
64;muelle;1;Caleta Coloso;48007583-8
5;muelle;1;Caleta Coloso;19410523-1
104;astillero;3;Coronel;22150901-3
190;muelle;3;Port Williams;95711978-6
120;muelle;1;Guayacan;66976509-6
33;astillero;3;Puerto Montt;88408240-4
70;astillero;2;Coronel;12969098-4
128;astillero;3;San Antonio;53383454-k
169;astillero;2;San Vicente;14495790-3
69;astillero;2;Caleta Patillos;16943787-4
205;muelle;2;Quintero;42868972-0
151;muelle;2;Puerto Montt;76362168-5
62;muelle;1;Calderilla;36600416-5
43;astillero;2;Coronel;99302343-4
22;muelle;2;Quellon;83330704-5
132;muelle;2;Chacabuco;54363208-2
35;astillero;3;Arica;41775238-2
150;muelle;2;Chacabuco;53087333-1
73;muelle;1;Guayacan;88667817-7
126;astillero;2;Punta Patache;41659296-9
195;astillero;3;Punta Patache;17611254-9
106;muelle;2;Punta Arenas;98661210-6
178;muelle;2;Isla Guarello;24655915-5
152;muelle;2;San Vicente;69691126-6
199;muelle;1;Quellon;90494178-6
158;astillero;1;Taltal;96213582-k
49;astillero;2;Lota;14408869-7
121;muelle;2;Ancud;70368495-5
122;astillero;3;Penco;18902520-3
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
