nombre;edad;sexo;rut
Haidar Moreno;30;hombre;91346186-k
Shayaan Watkins;19;hombre;56405384-8
Khadija Dalby;43;mujer;32153494-5
Billie Kaur;38;mujer;54546935-9
Mimi Harris;49;hombre;48269008-4
Kierran Stanton;27;hombre;50942616-3
Isabell Goodwin;40;hombre;84327091-3
Tiffany Cantu;25;hombre;66714421-3
Skye Gray;49;mujer;48007583-8
Lemar Cullen;28;hombre;14585428-8
Maariya Enriquez;30;hombre;25450277-4
Ayana Portillo;23;mujer;60456055-1
Humayra Palacios;32;hombre;90494178-6
Mea Dorsey;37;hombre;95199785-4
Ammaar Carty;48;hombre;13947632-8
Dainton Pratt;24;mujer;29004298-4
Waleed Aguirre;53;hombre;63968995-6
Karis Downes;58;mujer;42494071-2
Annabelle Mullins;35;hombre;11123767-0
Kaeden Knapp;53;mujer;37285914-8
Jobe Reyes;26;hombre;79725852-0
Ilayda Whitehouse;29;mujer;11118739-8
Nasir Jenkins;19;hombre;45273848-1
Jonny Newton;50;mujer;33461512-k
Sabrina Gillespie;47;hombre;27626683-7
Frances Corrigan;25;mujer;12920124-k
Yunus Galloway;20;mujer;15955355-8
Robyn Hyde;55;hombre;14495790-3
Rebecca Sheehan;56;hombre;49552236-9
Sakina Stewart;49;hombre;40161573-3
India Camacho;22;mujer;12969098-4
Ella-Mai Butt;55;mujer;41775238-2
Maia Glover;22;mujer;52792841-9
Aryan Hastings;25;hombre;82533150-6
Hashir Hendricks;49;mujer;38100857-6
Yash Wallace;19;mujer;69691126-6
Harlow Woods;19;hombre;99302343-4
Ariadne Hibbert;40;mujer;35155157-7
Miller Fletcher;57;hombre;35340502-0
Kymani Rahman;49;hombre;95711978-6
Gaia Pearson;31;mujer;23686910-5
Asiya Short;49;hombre;98357275-8
Amba Crane;36;mujer;77484278-0
Isaac Fleming;20;mujer;52258791-5
Haider Hines;19;hombre;24927693-6
Luca Foley;37;mujer;71316667-7
Ariyan Patel;32;hombre;37780063-k
Luqman Marks;21;mujer;15795964-6
Evan Haas;24;hombre;24655915-5
Billy-Joe Ward;22;hombre;12177977-3
Nathaniel Rivas;37;mujer;79974368-k
Harry Hood;50;mujer;42868972-0
Brandy Ponce;41;mujer;25696685-9
Siyana Ballard;23;hombre;95423202-6
Musa Myers;27;hombre;18984900-1
Ace Stephenson;57;mujer;57181678-4
Ashlyn Finch;31;mujer;97163657-2
Mikayla Hume;30;mujer;42714709-6
Nevaeh Gill;46;mujer;88667817-7
Rahul Finley;36;hombre;50814284-6
